"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","class=UP","0.4245199735157802","0.03683196975897901","0.007366393951795805","0.007962957550134937","0.01751636640638643","nswdemand='(-inf-0.276331]'","1.4794506920950967E-4","nswdemand='(0.559135-inf)'"
"nswdemand_class","class=DOWN","0.5754800264842198","0.008712740216663836","0.0017425480433327673","0.0013994138691953387","0.00355870001691537","nswdemand='(0.276331-0.397129]'","3.587529693831748E-4","nswdemand='(0.397129-0.481628]'"
"day_class","class=UP","0.4245199735157802","0.03492579499187156","0.004989399284553078","0.002778676055319967","0.0097174743860131","day=1","0.001220431935807037","day=5"
"day_class","class=DOWN","0.5754800264842198","0.027453795294584867","0.003921970756369266","0.002792890681945281","0.007798501150980713","day=2","7.688404145001493E-4","day=4"
"period_class","class=UP","0.4245199735157802","0.04432383453723982","0.008864766907447964","0.0035181936883334855","0.012550191304084565","period='(0.414894-0.606383]'","0.003117956525288526","period='(0.819149-inf)'"
"period_class","class=DOWN","0.5754800264842198","0.03453824712622544","0.006907649425245089","0.0028156854578557625","0.009655147053415802","period='(0.606383-0.819149]'","0.0020896367607798755","period='(0.819149-inf)'"
"nswprice_class","class=UP","0.4245199735157802","0.35021655179050554","0.07004331035810112","0.03032763998738462","0.09186842755449204","nswprice='(0.077804-inf)'","0.010930823988888852","nswprice='(0.043518-0.056848]'"
"nswprice_class","class=DOWN","0.5754800264842198","0.48514933331372123","0.09702986666274425","0.08327539824785242","0.24257466665686062","nswprice='(-inf-0.03223]'","0.01376933316663112","nswprice='(0.077804-inf)'"
"transfer_class","class=UP","0.4245199735157802","0.7786404407698012","0.15572808815396016","0.11839125397954417","0.3893202203849005","transfer='(0.414693-0.415132]'","0.08564657104255727","transfer='(0.415132-0.551974]'"
"transfer_class","class=DOWN","0.5754800264842198","0.7587019290878202","0.15174038581756397","0.11577515873088982","0.3793509645439101","transfer='(0.414693-0.415132]'","0.07461870545925234","transfer='(0.415132-0.551974]'"
"vicprice_class","class=UP","0.4245199735157802","0.7820143884892088","0.1564028776978418","0.1303393483552916","0.39100719424460434","vicprice='(0.003466-0.003468]'","0.019787903050971712","vicprice='(0.003067-0.003466]'"
"vicprice_class","class=DOWN","0.5754800264842198","0.7592289532326746","0.15184579064653492","0.13421701677537873","0.3796144766163373","vicprice='(0.003466-0.003468]'","0.020752366313405067","vicprice='(0.003067-0.003466]'"
"vicdemand_class","class=UP","0.4245199735157802","0.78191161356629","0.15638232271325794","0.11962448057704222","0.3909558067831449","vicdemand='(0.422877-0.423006]'","0.07102168869848888","vicdemand='(0.335448-0.422877]'"
"vicdemand_class","class=DOWN","0.5754800264842198","0.7594584139264989","0.1518916827852997","0.12333768226091266","0.3797292069632495","vicdemand='(0.422877-0.423006]'","0.05540276970824662","vicdemand='(0.540782-inf)'"
"date_class","class=UP","0.4245199735157802","0.8154162384378212","0.1630832476875642","0.08020380485735622","0.21130983692793268","date='(0.889275-inf)'","0.004972716799131527","date='(0.442967-0.471594]'"
"date_class","class=DOWN","0.5754800264842198","0.7939163498098861","0.1587832699619772","0.0793933519620007","0.20657794676806085","date='(0.471594-0.889275]'","0.0020258731641305816","date='(0.442967-0.471594]'"
