"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","nswdemand='(-inf-0.276331]'","0.20004414036636503","0.06859395045408635","0.03429697522704319","1.591891437214844E-17","0.0342969752270432","class=UP","0.03429697522704317","class=DOWN"
"nswdemand_class","nswdemand='(0.481628-0.559135]'","0.20013242109909513","0.008491469055085105","0.004245734527542552","1.4238309865648918E-17","0.004245734527542566","class=UP","0.0042457345275425384","class=DOWN"
"nswdemand_class","nswdemand='(0.397129-0.481628]'","0.19997792981681747","0.029080799163901695","0.014540399581950848","1.4676513876586125E-17","0.014540399581950858","class=DOWN","0.01454039958195083","class=UP"
"nswdemand_class","nswdemand='(0.276331-0.397129]'","0.19993378945045245","0.00345505383275721","0.001727526916378605","1.4238309865648918E-17","0.0017275269163786189","class=DOWN","0.0017275269163785911","class=UP"
"nswdemand_class","nswdemand='(0.559135-inf)'","0.19991171926726992","0.021532167811200348","0.010766083905600174","1.4238309865648918E-17","0.010766083905600188","class=UP","0.01076608390560016","class=DOWN"
"day_class","day=1","0.14195541822997135","0.0693407960199005","0.03467039800995024","1.4238309865648918E-17","0.034670398009950254","class=UP","0.034670398009950226","class=DOWN"
"day_class","day=5","0.14299271683954975","0.007994619303116651","0.003997309651558326","1.4238309865648918E-17","0.0039973096515583395","class=UP","0.003997309651558312","class=DOWN"
"day_class","day=2","0.14299271683954975","0.045534566670173506","0.022767283335086756","1.591891437214844E-17","0.022767283335086763","class=DOWN","0.022767283335086735","class=UP"
"day_class","day=6","0.1430147870227323","0.039490049751243796","0.019745024875621898","1.4676513876586125E-17","0.019745024875621908","class=DOWN","0.01974502487562188","class=UP"
"day_class","day=3","0.1430147870227323","0.01661728124085457","0.008308640620427285","1.4238309865648918E-17","0.008308640620427299","class=DOWN","0.008308640620427271","class=UP"
"day_class","day=7","0.1430147870227323","0.010841930055604326","0.005420965027802163","1.4238309865648918E-17","0.005420965027802177","class=UP","0.005420965027802149","class=DOWN"
"day_class","day=4","0.1430147870227323","0.025090539947322216","0.012545269973661108","1.4238309865648918E-17","0.012545269973661122","class=DOWN","0.012545269973661094","class=UP"
"period_class","period='(-inf-0.202128]'","0.20829838887662772","0.0351769442678534","0.0175884721339267","2.165206443638618E-17","0.017588472133926725","class=DOWN","0.017588472133926683","class=UP"
"period_class","period='(0.202128-0.414894]'","0.20834252924299274","0.0396186440677966","0.0198093220338983","1.4676513876586125E-17","0.01980932203389832","class=UP","0.01980932203389829","class=DOWN"
"period_class","period='(0.414894-0.606383]'","0.18750827631869346","0.043549905838041414","0.021774952919020707","0.0","0.021774952919020707","class=UP","0.021774952919020707","class=UP"
"period_class","period='(0.606383-0.819149]'","0.20834252924299274","0.06144067796610174","0.030720338983050866","1.4676513876586125E-17","0.030720338983050877","class=UP","0.03072033898305085","class=DOWN"
"period_class","period='(0.819149-inf)'","0.18750827631869346","0.023305084745762678","0.011652542372881339","1.4238309865648918E-17","0.011652542372881353","class=UP","0.011652542372881325","class=DOWN"
"nswprice_class","nswprice='(-inf-0.03223]'","0.19986757890090484","0.1557836327463554","0.0778918163731777","2.251274460334831E-17","0.07789181637317773","class=UP","0.07789181637317771","class=DOWN"
"nswprice_class","nswprice='(0.077804-inf)'","0.20068417567865815","0.02247640078953005","0.011238200394765025","7.338256938293063E-18","0.01123820039476503","class=UP","0.011238200394765016","class=DOWN"
"nswprice_class","nswprice='(0.056848-0.077804]'","0.1996910174354447","0.09310350627024956","0.0465517531351248","2.013601091727134E-17","0.0465517531351248","class=DOWN","0.046551753135124774","class=UP"
"nswprice_class","nswprice='(0.043518-0.056848]'","0.2002869123813728","0.21430041399919958","0.10715020699959979","2.013601091727134E-17","0.10715020699959982","class=DOWN","0.10715020699959979","class=UP"
"nswprice_class","nswprice='(0.03223-0.043518]'","0.1994703156036195","0.26410567821410463","0.13205283910705226","2.013601091727134E-17","0.1320528391070523","class=DOWN","0.13205283910705226","class=UP"
"transfer_class","transfer='(-inf-0.414693]'","0.14343412050320017","0.08158819890005031","0.040794099450025156","2.8476619731297836E-17","0.040794099450025184","class=DOWN","0.04079409945002513","class=UP"
"transfer_class","transfer='(0.551974-0.6875]'","0.15705142352681525","0.07996092240305752","0.03998046120152876","0.0","0.03998046120152876","class=UP","0.03998046120152876","class=UP"
"transfer_class","transfer='(0.6875-inf)'","0.15678658132862505","0.10829769291222727","0.05414884645611362","2.013601091727134E-17","0.05414884645611365","class=UP","0.05414884645611362","class=DOWN"
"transfer_class","transfer='(0.415132-0.551974]'","0.1569631427940852","0.03059313041055909","0.015296565205279545","1.4676513876586125E-17","0.015296565205279555","class=DOWN","0.015296565205279528","class=UP"
"transfer_class","transfer='(0.414693-0.415132]'","0.38576473184727433","0.2924734190044557","0.1462367095022278","4.027202183454268E-17","0.14623670950222786","class=DOWN","0.1462367095022278","class=UP"
"vicdemand_class","vicdemand='(-inf-0.335448]'","0.20004414036636503","0.0704921586549596","0.0352460793274798","1.591891437214844E-17","0.03524607932747981","class=DOWN","0.03524607932747978","class=UP"
"vicdemand_class","vicdemand='(0.335448-0.422877]'","0.1112557934230854","0.04874512488883711","0.024372562444418554","1.4676513876586125E-17","0.024372562444418572","class=UP","0.024372562444418544","class=DOWN"
"vicdemand_class","vicdemand='(0.422877-0.423006]'","0.38455087177223574","0.5","0.25","0.03250344641592086","0.28168044077134985","class=DOWN","0.21831955922865015","class=UP"
"vicdemand_class","vicdemand='(0.423006-0.540782]'","0.15188700066210553","0.07953170345180516","0.03976585172590256","2.1357464798473378E-17","0.03976585172590258","class=UP","0.03976585172590258","class=UP"
"vicdemand_class","vicdemand='(0.540782-inf)'","0.15226219377620834","0.0011881797952336404","5.940898976168202E-4","1.4238309865648918E-17","5.940898976168341E-4","class=UP","5.940898976168063E-4","class=DOWN"
"vicprice_class","vicprice='(-inf-0.002058]'","0.2001765614654602","0.08220730797912003","0.04110365398956003","1.591891437214844E-17","0.04110365398956002","class=UP","0.04110365398956001","class=DOWN"
"vicprice_class","vicprice='(0.003466-0.003468]'","0.38459501213860076","0.4366965105601469","0.21834825528007337","8.542985919389351E-17","0.21834825528007346","class=UP","0.21834825528007346","class=UP"
"vicprice_class","vicprice='(0.002058-0.003067]'","0.1998013683513573","0.1188020081597774","0.0594010040798887","1.4238309865648918E-17","0.059401004079888714","class=UP","0.059401004079888686","class=DOWN"
"vicprice_class","vicprice='(0.003468-inf)'","0.17832708011476495","0.09459019061349762","0.0472950953067488","1.006800545863567E-17","0.047295095306748816","class=DOWN","0.0472950953067488","class=UP"
"vicprice_class","vicprice='(0.003067-0.003466]'","0.037099977929816806","0.03022749656505721","0.015113748282528608","1.4238309865648918E-17","0.015113748282528622","class=UP","0.015113748282528594","class=DOWN"
"date_class","date='(-inf-0.026747]'","0.20019863164864266","0.5","0.25","0.03854063757832834","0.28756476683937826","class=DOWN","0.21243523316062177","class=UP"
"date_class","date='(0.026747-0.442967]'","0.20022070183182522","0.5","0.25","0.025785170224362337","0.2751322751322751","class=DOWN","0.22486772486772486","class=UP"
"date_class","date='(0.442967-0.471594]'","0.20019863164864266","0.007521751846165103","0.0037608759230825517","0.0","0.0037608759230825517","class=UP","0.0037608759230825517","class=UP"
"date_class","date='(0.471594-0.889275]'","0.20022070183182522","0.5","0.25","0.050722144059765405","0.2994378306878307","class=DOWN","0.2005621693121693","class=UP"
"date_class","date='(0.889275-inf)'","0.19916133303906422","0.5","0.25","0.028139366372016354","0.27742686170212766","class=DOWN","0.22257313829787234","class=UP"
