"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period","0.0063120723902008475","1.8034492543430992E-4","7.443425559801432E-5","2.2070183182520443E-4","day=3_period='(0.606383-0.819149]'","0.0","day=1_period='(0.414894-0.606383]'"
"period_nswdemand","0.04674464798057825","0.0018697859192231294","0.0019074563601979113","0.007636283381152065","period='(0.819149-inf)'_nswdemand='(0.397129-0.481628]'","2.207018318252027E-5","period='(-inf-0.202128]'_nswdemand='(0.397129-0.481628]'"
"day_nswdemand","0.14319134848819245","0.004091181385376923","0.004440234695826423","0.01712646214963584","day=1_nswdemand='(0.276331-0.397129]'","0.0","day=4_nswdemand='(0.481628-0.559135]'"
"day_nswprice","0.39448245420436995","0.011270927262982","0.008258419786202335","0.03471639814610462","day=1_nswprice='(-inf-0.03223]'","1.1035091591260135E-4","day=1_nswprice='(0.03223-0.043518]'"
"period_nswprice","0.4060472301920105","0.01624188920768041","0.011509935193086993","0.048223350253807105","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","0.0011697197086735821","period='(-inf-0.202128]'_nswprice='(0.077804-inf)'"
"nswprice_nswdemand","0.41403663650408307","0.016561465460163318","0.014138148164228563","0.06115647759876407","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","8.60737144118294E-4","nswprice='(0.03223-0.043518]'_nswdemand='(0.481628-0.559135]'"
"period_transfer","0.7672919885235048","0.0306916795409402","0.023696987105695008","0.08007062458618407","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'","0.006488633855661003","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"day_transfer","0.7672919885235048","0.02192262824352872","0.017429089920456612","0.05506510704038843","day=4_transfer='(0.414693-0.415132]'","0.001500772456411388","day=1_transfer='(-inf-0.414693]'"
"nswdemand_transfer","0.7672919885235049","0.03069167954094018","0.025553053626054065","0.08856764511145443","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'","0.003553299492385787","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
"nswprice_transfer","0.7673361288898699","0.03069344515559478","0.03502801647484869","0.12674906201721475","nswprice='(0.056848-0.077804]'_transfer='(0.414693-0.415132]'","2.2070183182520405E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'"
"day_vicprice","0.7690134628117412","0.021971813223192645","0.01806537210839067","0.05510924740675348","day=4_vicprice='(0.003466-0.003468]'","0.002074597219156919","day=1_vicprice='(0.003067-0.003466]'"
