"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","0.07356313719958178","0.0021457896333835986","0.0022223622119619912","0.01194497622012107","day=1_period='(0.202128-0.414894]'_class=UP","2.9859308234844034E-5","day=4_period='(0.202128-0.414894]'_class=DOWN"
"period_nswdemand_class","0.08196660547155431","0.003345475188342161","0.0026563066853919366","0.013157001264547842","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'_class=UP","1.6238005312290337E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_class=UP"
"day_nswdemand_class","0.17012961246210204","0.0049477821046587465","0.005383553188206053","0.02765934843618304","day=1_nswdemand='(0.276331-0.397129]'_class=UP","9.082686507290785E-6","day=6_nswdemand='(0.397129-0.481628]'_class=UP"
"day_nswprice_class","0.430684458812422","0.012028587313992357","0.009952519845114848","0.0421979686844989","day=1_nswprice='(-inf-0.03223]'_class=DOWN","3.009991495794128E-4","day=7_nswprice='(0.043518-0.056848]'_class=UP"
"period_nswprice_class","0.43728972871314864","0.017095678212537557","0.014531859576546655","0.07646336351133698","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_class=DOWN","7.790025588306692E-4","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_class=UP"
"nswprice_nswdemand_class","0.4627427873407175","0.018023051394249232","0.016502031648169838","0.09712990269984041","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_class=DOWN","0.002035286936184922","nswprice='(0.077804-inf)'_nswdemand='(0.559135-inf)'_class=DOWN"
"period_transfer_class","0.7671662255389986","0.030746847397152385","0.027081677403452572","0.1195357833655706","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'_class=DOWN","0.004434540591769464","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'_class=UP"
"nswdemand_transfer_class","0.7671662255389987","0.030746847397152444","0.02860830568406219","0.12626824837649206","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'_class=DOWN","0.0016833245660178853","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP"
"day_transfer_class","0.7671662255389987","0.02196203385510888","0.017743351862396263","0.06772867420349435","day=1_transfer='(0.414693-0.415132]'_class=UP","7.178001191430526E-4","day=1_transfer='(-inf-0.414693]'_class=DOWN"
"nswprice_transfer_class","0.7672555511515217","0.030751055708567426","0.044778673468713705","0.23090362458661612","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415132]'_class=UP","4.464187216391731E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'_class=DOWN"
"day_vicprice_class","0.768901825604324","0.022017762024598358","0.01914524702063552","0.06772867420349435","day=1_vicprice='(0.003466-0.003468]'_class=UP","8.805880823259029E-4","day=6_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicprice_class","0.7689018256043241","0.030824866834437685","0.029700035844268707","0.1195357833655706","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0012317852939411453","period='(-inf-0.202128]'_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicdemand_class","0.7689902456429273","0.03082740054985577","0.02887288295710909","0.1195357833655706","period='(-inf-0.202128]'_vicdemand='(0.422877-0.423006]'_class=DOWN","3.7956623103455885E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'_class=DOWN"
"day_vicdemand_class","0.7689902456429277","0.022019571821325568","0.018780629398087938","0.06772867420349435","day=1_vicdemand='(0.422877-0.423006]'_class=UP","7.604562737642586E-5","day=1_vicdemand='(0.540782-inf)'_class=DOWN"
"vicdemand_transfer_class","0.7689910074701168","0.03503116707510192","0.07879526044668989","0.3909558067831449","vicdemand='(0.422877-0.423006]'_transfer='(0.414693-0.415132]'_class=UP","0.0","vicdemand='(0.422877-0.423006]'_transfer='(0.415132-0.551974]'_class=UP"
"vicprice_vicdemand_class","0.7690338756504831","0.03853682006039271","0.08357859147976009","0.3909558067831449","vicprice='(0.003466-0.003468]'_vicdemand='(0.422877-0.423006]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=UP"
"vicprice_transfer_class","0.7690361611320514","0.0335103646489303","0.07799103983926793","0.3909558067831449","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415132]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'_class=UP"
"nswprice_vicprice_class","0.7693719576276369","0.030841205612559503","0.05593193581318117","0.23211716341212743","nswprice='(0.077804-inf)'_vicprice='(0.003466-0.003468]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=UP"
"nswdemand_vicdemand_class","0.772288078829828","0.03226021985146834","0.03272436343600639","0.12634429400386848","nswdemand='(-inf-0.276331]'_vicdemand='(0.422877-0.423006]'_class=DOWN","3.6037096145501615E-5","nswdemand='(0.559135-inf)'_vicdemand='(-inf-0.335448]'_class=DOWN"
