"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"period_nswdemand_class","0.06170362168127082","0.042459477149827035","0.03564593562554346","0.13867521367521368","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_class=DOWN","2.7890585493767217E-4","period='(0.202128-0.414894]'_nswdemand='(0.481628-0.559135]'_class=UP"
"day_period_class","0.07275224996683978","0.03675190017536494","0.03775203937342569","0.17611940298507464","day=1_period='(0.202128-0.414894]'_class=DOWN","0.0016595959817993777","day=5_period='(-inf-0.202128]'_class=DOWN"
"day_nswdemand_class","0.0839429940191985","0.04376659641302377","0.03335723874521391","0.11193391723967264","day=7_nswdemand='(0.276331-0.397129]'_class=DOWN","0.0019605544559216925","day=5_nswdemand='(0.559135-inf)'_class=UP"
"period_nswprice_class","0.13785408656999107","0.07486041909529823","0.054119984771620354","0.18872098661460526","period='(0.414894-0.606383]'_nswprice='(0.03223-0.043518]'_class=DOWN","0.0015872562461913264","period='(0.819149-inf)'_nswprice='(0.077804-inf)'_class=UP"
"nswdemand_transfer_class","0.14743599126541085","0.06609189131865066","0.044912758259968606","0.1565222803086881","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'_class=UP","0.0013385837472190687","nswdemand='(0.559135-inf)'_transfer='(0.415132-0.551974]'_class=UP"
"nswprice_nswdemand_class","0.15113036156232496","0.08087876586126323","0.05081755755474736","0.16061583722712552","nswprice='(0.03223-0.043518]'_nswdemand='(0.481628-0.559135]'_class=UP","0.0045185797873970035","nswprice='(0.056848-0.077804]'_nswdemand='(-inf-0.276331]'_class=UP"
"day_nswprice_class","0.16178560541686138","0.08110947839195132","0.05745300025267414","0.2206410546532746","day=2_nswprice='(0.056848-0.077804]'_class=UP","6.182419218492274E-5","day=4_nswprice='(0.056848-0.077804]'_class=UP"
"day_transfer_class","0.20494908587706934","0.07929836705961013","0.07192065144606272","0.27642113690952763","day=4_transfer='(0.414693-0.415132]'_class=UP","0.004892574903546859","day=5_transfer='(-inf-0.414693]'_class=DOWN"
"period_transfer_class","0.21648038833139366","0.08518248524159705","0.08850260165272067","0.4257371176632681","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'_class=UP","0.0020519262981574526","period='(0.606383-0.819149]'_transfer='(0.551974-0.6875]'_class=DOWN"
"nswprice_transfer_class","0.24180053538432134","0.10062491388579506","0.07912169452856364","0.37078820697954273","nswprice='(0.03223-0.043518]'_transfer='(0.414693-0.415132]'_class=UP","0.01279225934747602","nswprice='(0.043518-0.056848]'_transfer='(-inf-0.414693]'_class=DOWN"
