"points","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"336","0.14604464838979814","0.1651215419480005","0.6134808082454792","0.16802638678888515","0.0","0.0","0.0"
"384","0.13225694503995622","0.11925879042887039","0.49901684549114267","0.14933614393115757","0.0","0.0","0.0"
"432","0.14208393593869706","0.09148315178210079","0.348318835064683","0.14544932129936589","0.0","0.0","0.0"
"480","0.1257685907594019","0.07885750645808051","0.1282719511342209","0.09798970161056803","0.0","0.0","0.0"
"528","0.11577843653477984","0.07332006123472357","0.10443696399838792","0.08993504826504398","0.0","0.0","0.0"
"576","0.16351667877881537","0.0612747109609653","0.12820249006003498","0.12076635839768937","0.0","0.0","0.0"
"624","0.15202403329752956","0.06773127013963481","0.09213178034371644","0.09994075590762624","0.0","0.0","0.0"
"672","0.1602920087820472","0.054182177142667806","0.07257265389840442","0.11727097920105377","0.0","0.0","0.0"
"720","0.2103874407831256","0.07807540193345505","0.11745155594061116","0.13480984295819776","0.0","0.0","0.0"
"768","0.2490739375549177","0.14864988893340547","0.16299795151768348","0.19456182559541124","0.0","0.0","0.0"
"816","0.2567900755491853","0.14990400733083892","0.12219286772009796","0.2167922667450809","0.0","0.0","0.0"
"864","0.2879251921001012","0.17556023040073399","0.09080611099230114","0.2873239563376417","0.0","0.0","0.0"
"912","0.2204322410032461","0.19242446090648127","0.15824976064535695","0.25051599871678437","0.0","0.0","0.0"
"960","0.21827644291889142","0.18838712496821763","0.28750913742690054","0.27986786486142895","0.0","0.0","0.0"
"1008","0.20285364572224568","0.20234863790156965","0.43468105875939983","0.328480782934089","0.0","0.0","0.0"
"1056","0.20242463550364556","0.17855550489875888","0.41514927782950684","0.2575079494774332","0.0","0.0","0.0"
"1104","0.15676224500818414","0.13327137586571958","0.36539722143920106","0.1820834586266439","0.0","0.0","0.0"
"1152","0.1342804274444703","0.0706724625135099","0.34947377776546573","0.11521401953322","0.0","0.0","0.0"
"1200","0.11892364063834816","0.03736857166120917","0.35302930033314694","0.10227962881350909","0.0","0.0","0.0"
"1248","0.13111685647789142","0.039291244432487354","0.2674096010029875","0.07428340364708344","0.0","0.0","0.0"
"1296","0.13727792529173183","0.09427701467766225","0.18549802797135115","0.08737266263973102","0.0","0.0","0.0"
"1344","0.14368015322448818","0.08459695950074646","0.13044270850998066","0.10893987446866141","0.0","0.0","0.0"
"1392","0.17164632912733213","0.12724130266944045","0.12825181568935384","0.12623110657325612","0.0","0.0","0.0"
"1440","0.20493441581350214","0.1875192855344049","0.17780265679126303","0.22910563311408397","0.0","0.0","0.0"
"1488","0.17182774166347597","0.1885933858621515","0.33985619162590164","0.26518581800947566","0.0","0.0","0.0"
"1536","0.1740675495857969","0.19824106642616535","0.5031982822845744","0.2899312640041944","0.0","0.0","0.0"
"1584","0.2157440551656084","0.201903865201904","0.5929563821914737","0.2983910894701164","0.0","0.0","0.0"
"1632","0.22855395624729352","0.26307823868692587","0.6650995666499245","0.2553424818821059","0.0","0.0","0.0"
"1680","0.1977185541545386","0.25545892077932364","0.6286827668474205","0.2956459637739993","0.0","0.0","0.0"
"1728","0.16294354451763887","0.18121764847201688","0.6050950217726595","0.2013054601446143","0.0","0.0","0.0"
"1776","0.12507599150157767","0.1755099038571752","0.46871885681524683","0.16865286853641792","0.0","0.0","0.0"
"1824","0.12293628698926903","0.14397406758280903","0.40511813023780013","0.14605122977159046","0.0","0.0","0.0"
"1872","0.13388456934449877","0.1278437503646255","0.34997418205944714","0.1853333039661833","0.0","0.0","0.0"
"1920","0.19888263903827036","0.14700875545381453","0.40950586740511613","0.20855165352414778","0.0","0.0","0.0"
"1968","0.2284763487398085","0.1670119576570352","0.5622736850341381","0.21950919544554548","0.0","0.0","0.0"
"2016","0.26871377248990314","0.21528058825632454","0.6541778350091598","0.2974893190958139","0.0","0.0","0.0"
"2064","0.2941384571283775","0.23694472737601152","0.785419456730283","0.2372421188729465","0.0","0.0","0.0"
"2112","0.2141047755353439","0.21723839784186727","0.5707951128008403","0.17830390790609377","0.0","0.0","0.0"
"2160","0.23292571342975238","0.09873774331986626","0.40238466419242974","0.15852962902037163","0.0","0.0","0.0"
"2208","0.22313707774584263","0.09361042934242415","0.3335976443897739","0.15257092711852782","0.0","0.0","0.0"
