"points","day_period_nswprice_nswdemand_vicprice_vicdemand_transfer"
"336","0.7883558063818357"
"384","0.7003874138299906"
"432","0.6329606110584237"
"480","0.5851090787926572"
"528","0.5772100778232188"
"576","0.5539455367637159"
"624","0.5365561224489795"
"672","0.5727373643458886"
"720","0.6332735113152121"
"768","0.685068066592511"
"816","0.6762173271193745"
"864","0.6882352630356967"
"912","0.7199630343639616"
"960","0.7403862350622927"
"1008","0.7708716275845253"
"1056","0.7346248117512281"
"1104","0.6576992849277841"
"1152","0.6323658200311304"
"1200","0.5954875911638678"
"1248","0.535120413487638"
"1296","0.5095941513408382"
"1344","0.5020538738211149"
"1392","0.5448552416454842"
"1440","0.6478601534302459"
"1488","0.7385969749499197"
"1536","0.8165634791905547"
"1584","0.8591888629575758"
"1632","0.868494044259742"
"1680","0.8498701245901356"
"1728","0.8247470208997837"
"1776","0.8180050056604561"
"1824","0.8152665539369623"
"1872","0.812662414228281"
"1920","0.8235012863793171"
"1968","0.8537990724797705"
"2016","0.8781337817789668"
"2064","0.884432157227397"
"2112","0.8847993503735034"
"2160","0.8839567147283225"
"2208","0.8694531175134637"
"2256","0.8523222913019539"
"2304","0.805540166973606"
"2352","0.7702454614471377"
"2400","0.786142505664224"
"2448","0.7580160947685988"
"2496","0.6904761904761914"
"2544","0.6445286067769018"
"2592","0.6830932781936325"
"2640","0.7224840459260862"
"2688","0.7113262278227058"
"2736","0.653741564738888"
"2784","0.6636998760935756"
"2832","0.6937908733120615"
"2880","0.7243016600955001"
"2928","0.7122378231086559"
"2976","0.7064286358159351"
"3024","0.7106073868315441"
"3072","0.7227226433150234"
"3120","0.7208575415812254"
"3168","0.7100238355140783"
"3216","0.7361323492451095"
"3264","0.7447514173290948"
"3312","0.7559255058557506"
"3360","0.7730667792235899"
"3408","0.8156771884225713"
"3456","0.8570951526543631"
"3504","0.8200329064201872"
"3552","0.8099198606271782"
"3600","0.758482507195394"
"3648","0.7026815313128332"
"3696","0.6790215807246686"
"3744","0.6677838246559407"
"3792","0.604362434440559"
"3840","0.5852745663556704"
"3888","0.5709194672393636"
"3936","0.5969133290423494"
"3984","0.6245420911502944"
"4032","0.650556979021395"
"4080","0.6231093711512905"
"4128","0.6349523564520911"
"4176","0.6799554470297613"
"4224","0.7231341362040768"
"4272","0.7474459620901027"
"4320","0.806218911944361"
"4368","0.8101849960045036"
"4416","0.8312964755709918"
"4464","0.8474545840241607"
"4512","0.8615615740050317"
"4560","0.8730565740660731"
"4608","0.8663624139287944"
"4656","0.8421795054998182"
"4704","0.8439000750020279"
"4752","0.8696721565603316"
"4800","0.8930536683595319"
"4848","0.9026634130308688"
"4896","0.8912835151966815"
"4944","0.8449478293931064"
"4992","0.8223274036064948"
"5040","0.8255042160308368"
"5088","0.8153096875765338"
"5136","0.8142279697076368"
"5184","0.8056701164468243"
"5232","0.8040377234007343"
"5280","0.8511843708139468"
"5328","0.8934316024058457"
"5376","0.8932114840464502"
"5424","0.8982108899987675"
"5472","0.9107189596498392"
"5520","0.9115216037566362"
"5568","0.9226836273752874"
"5616","0.9278161904135273"
"5664","0.9180452843985993"
"5712","0.876173283052551"
"5760","0.8554003588733684"
"5808","0.8090096667803606"
"5856","0.7297603337066366"
"5904","0.6681253012765815"
"5952","0.639022959999143"
"6000","0.5940822280200344"
"6048","0.5793729885355604"
"6096","0.5681119692478649"
"6144","0.6214961476036478"
"6192","0.6986124585506212"
"6240","0.7541113686089362"
"6288","0.7908014831563936"
"6336","0.7693980564088335"
"6384","0.7795041549397482"
"6432","0.7524670680810366"
"6480","0.6607142857142855"
"6528","0.6462420096345791"
"6576","0.6081596142809316"
"6624","0.5423118072266849"
"6672","0.5373078128098863"
"6720","0.5647761413686894"
"6768","0.5928648891800599"
"6816","0.6342740916214826"
"6864","0.6130952380952379"
"6912","0.5888058758642192"
"6960","0.593675777405422"
"7008","0.6142331014057909"
"7056","0.6236353618225602"
"7104","0.6356230982255853"
"7152","0.654133690906463"
"7200","0.6334247967583354"
"7248","0.664969221846575"
"7296","0.6838637745489151"
"7344","0.6523599416456554"
"7392","0.6327602395304526"
"7440","0.6546284019592885"
"7488","0.6616872203225261"
"7536","0.7002660344589395"
"7584","0.7297823449458808"
"7632","0.7590327067476172"
"7680","0.7689298124919959"
"7728","0.7660067890366042"
"7776","0.7280351765456022"
"7824","0.7164506020006401"
"7872","0.6906066168069578"
"7920","0.6292579964729708"
"7968","0.5778894074651258"
"8016","0.5485808239758193"
"8064","0.5259699239432084"
"8112","0.5083480326722603"
"8160","0.502625684484081"
"8208","0.49672961433417595"
"8256","0.5062301189073735"
"8304","0.4685008278758277"
"8352","0.48999118682246023"
"8400","0.46982476358182024"
"8448","0.4947140487177656"
"8496","0.5025985695333373"
"8544","0.5148731837088975"
"8592","0.5245151171160544"
"8640","0.5267857142857139"
"8688","0.5554852639781244"
"8736","0.6070245885127117"
"8784","0.6198971183389552"
"8832","0.6025688229656643"
"8880","0.6154001925399866"
"8928","0.6362098476655528"
"8976","0.6898024259466001"
"9024","0.702505361936326"
"9072","0.7240428871385867"
"9120","0.7266098791137705"
"9168","0.7154912906350482"
"9216","0.7438482916668576"
"9264","0.7359396211883875"
"9312","0.6891453275327866"
"9360","0.6546432084419174"
"9408","0.6282121081722062"
"9456","0.6372969858878659"
"9504","0.6383762939567865"
"9552","0.6103438233955649"
"9600","0.609900392513063"
"9648","0.6912271262725778"
"9696","0.6900310053887613"
"9744","0.6951706552252055"
"9792","0.6909357242486618"
"9840","0.7134289178439929"
"9888","0.7253523270954496"
"9936","0.7354681925096593"
"9984","0.7104409337370008"
"10032","0.6910611124764221"
"10080","0.6866766760365479"
"10128","0.6397881437784181"
"10176","0.6354513828272187"
"10224","0.6242938714183908"
"10272","0.6077359554951001"
"10320","0.6118462273485212"
"10368","0.6288328423281728"
"10416","0.647017524211364"
"10464","0.6666831763357256"
"10512","0.6132543434483924"
"10560","0.6145283385576625"
"10608","0.5953475643130817"
"10656","0.5458257028585718"
"10704","0.5446428571428574"
"10752","0.5810402679879438"
"10800","0.6072438350340132"
"10848","0.6815476190476194"
"10896","0.7301166224837089"
"10944","0.7641044895881214"
"10992","0.8031472039996659"
"11040","0.8305727256702675"
"11088","0.8378338143367708"
"11136","0.8544544731080568"
"11184","0.8221137252381103"
"11232","0.8055650674844441"
"11280","0.8046998079081946"
"11328","0.7882630184017817"
"11376","0.7736731644266346"
"11424","0.7606364931420929"
"11472","0.7639167972903711"
"11520","0.7756954433372352"
"11568","0.7732136804506385"
"11616","0.7263986978913843"
"11664","0.7040793080996066"
"11712","0.6998290761730093"
"11760","0.6723977280475625"
"11808","0.6807692307692303"
"11856","0.6521483633325736"
"11904","0.6559379075350671"
"11952","0.6924287786452965"
"12000","0.7107813889427572"
"12048","0.7078819240310481"
"12096","0.7463713891671244"
"12144","0.7079087305238618"
"12192","0.720412793255052"
"12240","0.7476726867220105"
"12288","0.7218103774307574"
"12336","0.6974140995113611"
"12384","0.680999653117984"
"12432","0.6997989760622136"
"12480","0.6930702819418956"
"12528","0.7007018374662778"
"12576","0.6650608113096008"
"12624","0.6811639493051308"
"12672","0.7093765221851146"
"12720","0.7082901379873625"
"12768","0.6890983776291548"
"12816","0.6663246235844196"
"12864","0.6149695303324925"
"12912","0.6162811149135852"
"12960","0.6139797612331989"
"13008","0.6022824038614678"
"13056","0.6269327690912908"
"13104","0.6278642139116433"
"13152","0.6586798244980906"
"13200","0.6784721688871349"
"13248","0.6709947262711492"
"13296","0.6366711114895027"
"13344","0.6279761904761907"
"13392","0.6177933673469385"
"13440","0.541656424715635"
"13488","0.5228228269364217"
"13536","0.5325678337732763"
"13584","0.5153409090909092"
"13632","0.5053120630663334"
"13680","0.5221860862750836"
"13728","0.545209825839921"
"13776","0.5317686862554466"
"13824","0.548099817063914"
"13872","0.4857106944597113"
"13920","0.5274320586820587"
"13968","0.5677240345450117"
"14016","0.5829808883225298"
"14064","0.600359831342276"
"14112","0.6374075382944898"
"14160","0.6520778304931658"
"14208","0.7261456411358781"
"14256","0.7554080645069328"
"14304","0.7346212246232063"
"14352","0.7202541832674739"
"14400","0.6353500362855333"
"14448","0.6432884834602108"
"14496","0.6623369278416322"
"14544","0.6237330035875526"
"14592","0.5833086616901555"
"14640","0.6248843526597188"
"14688","0.6306356900518084"
"14736","0.6695826000757081"
"14784","0.6795184567515643"
"14832","0.6702948310878107"
"14880","0.6980270954467365"
"14928","0.7506154250467287"
"14976","0.7331603624588248"
"15024","0.6873668215169288"
"15072","0.6586408125098955"
"15120","0.6235174653890247"
"15168","0.6007703602026244"
"15216","0.5877614349706808"
"15264","0.5826500827363292"
"15312","0.6022446795281393"
"15360","0.6475174229744804"
"15408","0.6658784769401729"
"15456","0.7246810586941521"
"15504","0.7335973851249455"
"15552","0.7034162292878787"
"15600","0.6601090440496123"
"15648","0.6554019017887329"
"15696","0.6596964357285089"
"15744","0.6590553673889684"
"15792","0.6469790204411281"
"15840","0.6814301284467499"
"15888","0.716279139861072"
"15936","0.7735833728539856"
"15984","0.7380997302711969"
"16032","0.7098303910784056"
"16080","0.6849905527881041"
"16128","0.6480864187072677"
"16176","0.5964146006224507"
"16224","0.5821934413893417"
"16272","0.5558294363810109"
"16320","0.5476190476190478"
"16368","0.5450121680271874"
"16416","0.5335270827797194"
"16464","0.5564731831148881"
"16512","0.5770394996059891"
"16560","0.5589139521266759"
"16608","0.5079173115292897"
