"points","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"336","0.1547619047619047","0.17261904761904767","0.3907073428174333","0.1108533098838212","0.035714285714285754","0.035714285714285754","0.035714285714285754"
"384","0.1339285714285714","0.12202380952380953","0.2998477248985403","0.061294807562355315","0.014880952380952411","0.014880952380952411","0.014880952380952411"
"432","0.14285714285714285","0.09523809523809523","0.16471676346734843","0.058452313534503406","0.023809523809523836","0.023809523809523836","0.023809523809523836"
"480","0.12202380952380952","0.09226190476190478","0.10369488387686593","0.07181138214421261","0.044642857142857095","0.044642857142857095","0.044642857142857095"
"528","0.10714285714285714","0.08333333333333334","0.12553780370091347","0.05581372446426594","0.059523809523809534","0.059523809523809534","0.059523809523809534"
"576","0.15773809523809523","0.11011904761904762","0.16131210939316487","0.09112087839962518","0.11011904761904764","0.11011904761904764","0.11011904761904764"
"624","0.13392857142857142","0.08630952380952385","0.05931187884312887","0.0657692321299746","0.06845238095238099","0.06845238095238099","0.06845238095238099"
"672","0.1369047619047619","0.07142857142857144","0.012794781186759922","0.061025614973791296","0.05357142857142852","0.05357142857142852","0.05357142857142852"
"720","0.2202380952380952","0.08333333333333334","0.0032187702190142886","0.11062138428934666","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"768","0.25595238095238093","0.17261904761904762","0.07192691388149461","0.21978485002273934","0.14880952380952384","0.14880952380952384","0.14880952380952384"
"816","0.24107142857142855","0.1755952380952381","0.06400389360437785","0.24274108687573126","0.1220238095238095","0.1220238095238095","0.1220238095238095"
"864","0.2886904761904762","0.2589285714285714","0.10456315809147584","0.3075430163564537","0.16964285714285712","0.16964285714285712","0.16964285714285712"
"912","0.27083333333333337","0.2946428571428571","0.11396278348637384","0.32333985196265014","0.2589285714285714","0.2589285714285714","0.2589285714285714"
"960","0.27380952380952384","0.2976190476190476","0.05128005819335371","0.37856487095541125","0.261904761904762","0.261904761904762","0.261904761904762"
"1008","0.3214285714285714","0.34523809523809523","0.14026604788279895","0.4184312440253879","0.30952380952380953","0.30952380952380953","0.30952380952380953"
"1056","0.255952380952381","0.27976190476190477","0.21326141230054563","0.31212703932456626","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"1104","0.18749999999999997","0.21130952380952384","0.20067475622787684","0.21712826543126193","0.13988095238095236","0.13988095238095236","0.13988095238095236"
"1152","0.20238095238095236","0.16666666666666669","0.1804585295656724","0.1872471989086637","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"1200","0.15178571428571427","0.1160714285714286","0.1863477031541534","0.12018045143086027","0.11607142857142858","0.11607142857142858","0.11607142857142858"
"1248","0.13988095238095236","0.056547619047619055","0.1422147403368842","0.0631757157387321","0.056547619047619055","0.056547619047619055","0.056547619047619055"
"1296","0.13095238095238093","0.10119047619047619","0.07184081907867455","0.08407330538751065","0.041666666666666644","0.041666666666666644","0.041666666666666644"
"1344","0.13988095238095238","0.11607142857142858","0.04178841506983292","0.09276422914471369","0.08035714285714289","0.08035714285714289","0.08035714285714289"
"1392","0.16666666666666666","0.1904761904761905","0.07055613537503921","0.14878877701924284","0.10714285714285712","0.10714285714285712","0.10714285714285712"
"1440","0.22619047619047614","0.27976190476190477","0.10815233965642149","0.24520889097646253","0.18452380952380953","0.18452380952380953","0.18452380952380953"
"1488","0.22321428571428567","0.2767857142857143","0.16345740438765324","0.2547326535369326","0.2232142857142857","0.2232142857142857","0.2232142857142857"
"1536","0.22619047619047614","0.2678571428571429","0.22786867699307317","0.25986808340261286","0.22023809523809523","0.22023809523809523","0.22023809523809523"
"1584","0.22619047619047614","0.2380952380952381","0.27078719785786654","0.2647853282387335","0.17261904761904756","0.17261904761904756","0.17261904761904756"
"1632","0.23511904761904756","0.28869047619047616","0.28684114464644417","0.2117733586168892","0.15773809523809523","0.15773809523809523","0.15773809523809523"
"1680","0.181547619047619","0.2708333333333333","0.28981412430532855","0.26954415238000384","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"1728","0.1547619047619047","0.1785714285714286","0.2802273996206568","0.18526442065822504","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"1776","0.1577380952380952","0.18154761904761907","0.27390945637117436","0.15683509232601156","0.12202380952380953","0.12202380952380953","0.12202380952380953"
"1824","0.15476190476190474","0.17261904761904762","0.1970324252201455","0.14017077953795345","0.125","0.125","0.125"
"1872","0.1607142857142857","0.18452380952380953","0.15319399519303095","0.13779037942971006","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"1920","0.20238095238095236","0.14285714285714285","0.1900758562612666","0.15220364229091207","0.023809523809523808","0.023809523809523808","0.023809523809523808"
"1968","0.23214285714285712","0.1607142857142857","0.2663131368030115","0.21574750128753525","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"2016","0.2678571428571428","0.21428571428571433","0.265496610278572","0.28909087421009794","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"2064","0.3214285714285714","0.25","0.45045093756524895","0.2536581087658146","0.08333333333333334","0.08333333333333334","0.08333333333333334"
"2112","0.28273809523809523","0.27083333333333337","0.3475221218645176","0.20207122001069774","0.1875","0.1875","0.1875"
"2160","0.27083333333333326","0.1875","0.3043672168948718","0.17495017878536484","0.16964285714285718","0.16964285714285718","0.16964285714285718"
"2208","0.28273809523809523","0.18154761904761907","0.27316075781243093","0.18213644016040473","0.18154761904761904","0.18154761904761904","0.18154761904761904"
"2256","0.2470238095238095","0.11011904761904763","0.14182846366360397","0.11991988694988993","0.08630952380952381","0.08630952380952381","0.08630952380952381"
"2304","0.2261904761904762","0.02976190476190475","0.1568700881165626","0.10068378184066243","0.023809523809523808","0.023809523809523808","0.023809523809523808"
"2352","0.2202380952380952","0.11309523809523808","0.20068682144575","0.2017648995623798","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2400","0.2351190476190476","0.10416666666666669","0.357864825395056","0.14857639464268757","0.04464285714285718","0.04464285714285718","0.04464285714285718"
"2448","0.26190476190476186","0.09523809523809522","0.32459862456222965","0.15153532073113307","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"2496","0.2738095238095238","0.05357142857142857","0.3462163473488976","0.15289574180488807","0.0","0.0","0.0"
"2544","0.2648809523809524","0.08630952380952381","0.25235674867274804","0.15809184693941203","0.008928571428571397","0.008928571428571397","0.008928571428571397"
"2592","0.3184523809523809","0.0625","0.1343650793510156","0.12225593385681938","0.0625","0.0625","0.0625"
"2640","0.3452380952380952","0.08928571428571429","0.09742072857407152","0.12569229817178595","0.0892857142857143","0.0892857142857143","0.0892857142857143"
"2688","0.30357142857142855","0.13095238095238096","0.08830776759502129","0.1387588887987068","0.13095238095238096","0.13095238095238096","0.13095238095238096"
"2736","0.25297619047619047","0.050595238095238075","0.06268652418645868","0.13467634517454563","0.008928571428571397","0.008928571428571397","0.008928571428571397"
"2784","0.23809523809523808","0.1130952380952381","0.10703137584798142","0.1283415899621864","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2832","0.26488095238095233","0.16964285714285715","0.1524437464634013","0.18468787698694233","0.16964285714285718","0.16964285714285718","0.16964285714285718"
"2880","0.27083333333333326","0.19940476190476192","0.11366546765135892","0.22176127963558664","0.1994047619047619","0.1994047619047619","0.1994047619047619"
"2928","0.2857142857142857","0.08928571428571427","0.06684694048719249","0.08835672265691435","0.01785714285714282","0.01785714285714282","0.01785714285714282"
"2976","0.3005952380952381","0.13392857142857145","0.05243529084652197","0.08105115277019595","0.09226190476190477","0.09226190476190477","0.09226190476190477"
"3024","0.3214285714285714","0.125","0.07647940114073119","0.11438627212153984","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"3072","0.32738095238095233","0.10714285714285715","0.05461969414803191","0.08220055016027862","0.07738095238095236","0.07738095238095236","0.07738095238095236"
"3120","0.2946428571428571","0.1875","0.06504501058177199","0.07996712293867425","0.13392857142857145","0.13392857142857145","0.13392857142857145"
