"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period","0.0063120723902008475","1.803449254343098E-4","7.462152534342951E-5","2.2070183182520443E-4","day=4_period='(-inf-0.202128]'","0.0","day=1_period='(-inf-0.202128]'"
"period_nswdemand","0.046744647980578244","0.0018697859192231294","0.0019066254816710213","0.007636283381152065","period='(0.819149-inf)'_nswdemand='(0.397129-0.481628]'","2.207018318252027E-5","period='(-inf-0.202128]'_nswdemand='(0.397129-0.481628]'"
"day_nswdemand","0.14319134848819245","0.0040911813853769215","0.004440275558038793","0.01712646214963584","day=1_nswdemand='(0.276331-0.397129]'","0.0","day=4_nswdemand='(0.481628-0.559135]'"
"day_nswprice","0.3945265945707349","0.011272188416306717","0.008257810635538732","0.03471639814610462","day=1_nswprice='(-inf-0.03223]'","1.1035091591260135E-4","day=1_nswprice='(0.03223-0.043518]'"
"period_nswprice","0.4060472301920105","0.016241889207680417","0.011510722068175399","0.048223350253807105","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","0.0011697197086735821","period='(-inf-0.202128]'_nswprice='(0.077804-inf)'"
"nswprice_nswdemand","0.4140807768704481","0.016563231074817924","0.0141371091858863","0.06115647759876407","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","8.828073273008177E-4","nswprice='(0.03223-0.043518]'_nswdemand='(0.481628-0.559135]'"
"nswdemand_transfer","0.7672919885235048","0.030691679540940164","0.025553190657925415","0.08856764511145443","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'","0.003553299492385787","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
"day_transfer","0.7672919885235048","0.021922628243528735","0.01742944626269977","0.05506510704038843","day=4_transfer='(0.414693-0.415132]'","0.001500772456411388","day=1_transfer='(-inf-0.414693]'"
"period_transfer","0.7672919885235049","0.030691679540940202","0.023697508818737462","0.08007062458618407","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'","0.006488633855661003","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"nswprice_transfer","0.7673361288898699","0.030693445155594787","0.035027852285367145","0.12674906201721475","nswprice='(0.056848-0.077804]'_transfer='(0.414693-0.415132]'","2.2070183182520405E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'"
"day_vicprice","0.7690134628117412","0.021971813223192638","0.01806529253319443","0.05510924740675348","day=4_vicprice='(0.003466-0.003468]'","0.002074597219156919","day=1_vicprice='(0.003067-0.003466]'"
