"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","0.0735571797784864","0.0021457952617221715","0.0022221940499179576","0.011945806283649706","day=1_period='(0.202128-0.414894]'_class=UP","3.0911882893183695E-5","day=4_period='(0.202128-0.414894]'_class=DOWN"
"period_nswdemand_class","0.08197135890197016","0.003345308440940058","0.002656245782813729","0.01315746056636702","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'_class=UP","1.6210889903688248E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_class=UP"
"day_nswdemand_class","0.17012633364952093","0.004947797582477689","0.005382239198931512","0.027655081909645857","day=1_nswdemand='(0.276331-0.397129]'_class=UP","1.0443990694252933E-5","day=6_nswdemand='(0.397129-0.481628]'_class=UP"
"day_nswprice_class","0.43072805837168626","0.012029948114281647","0.0099535083196345","0.042201548595012704","day=1_nswprice='(-inf-0.03223]'_class=DOWN","3.01967557029487E-4","day=7_nswprice='(0.043518-0.056848]'_class=UP"
"period_nswprice_class","0.437333947357177","0.01709758641488188","0.014532757694738087","0.07647002596192164","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_class=DOWN","7.796666096535777E-4","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_class=UP"
"nswprice_nswdemand_class","0.46279116973742573","0.018025136302618615","0.01650337316230158","0.09713821630462811","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_class=DOWN","0.0020358594905320404","nswprice='(0.077804-inf)'_nswdemand='(0.559135-inf)'_class=DOWN"
"period_transfer_class","0.7671667867722992","0.030746853640733946","0.02708154697409918","0.1195357833655706","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'_class=DOWN","0.0044340038173542795","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'_class=UP"
"nswdemand_transfer_class","0.7671667867722993","0.030746853640733873","0.02860857316668028","0.1262682425931148","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'_class=DOWN","0.001683147485798443","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP"
"day_transfer_class","0.7671667867722993","0.021962038314809928","0.01774343262943737","0.06772867420349435","day=1_transfer='(0.414693-0.415132]'_class=UP","7.178753030472197E-4","day=1_transfer='(-inf-0.414693]'_class=DOWN"
"nswprice_transfer_class","0.7672561076314829","0.030751061509448365","0.04477896719621249","0.23090376846429442","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415132]'_class=UP","4.461584696632099E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'_class=DOWN"
"day_vicprice_class","0.7689023218268732","0.022017761859358966","0.019145385291357564","0.06772867420349435","day=1_vicprice='(0.003466-0.003468]'_class=UP","8.803224619967397E-4","day=6_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicprice_class","0.7689023218268732","0.030824866603102612","0.029699694905015298","0.1195357833655706","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.001231558409909985","period='(-inf-0.202128]'_vicprice='(0.003067-0.003466]'_class=UP"
"day_vicdemand_class","0.7689907411891568","0.022019571821325554","0.018780975799659334","0.06772867420349435","day=1_vicdemand='(0.422877-0.423006]'_class=UP","7.605141075366947E-5","day=1_vicdemand='(0.540782-inf)'_class=DOWN"
"period_vicdemand_class","0.7689907411891568","0.030827400549855843","0.02887254382654848","0.1195357833655706","period='(-inf-0.202128]'_vicdemand='(0.422877-0.423006]'_class=DOWN","3.7959803960939875E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'_class=DOWN"
"vicdemand_transfer_class","0.7689914996590389","0.03503116694366151","0.07879555354618756","0.3909558067831449","vicdemand='(0.422877-0.423006]'_transfer='(0.414693-0.415132]'_class=UP","0.0","vicdemand='(0.422877-0.423006]'_transfer='(0.415132-0.551974]'_class=UP"
"vicprice_vicdemand_class","0.7690343734649737","0.03853682006039266","0.08357874650239909","0.3909558067831449","vicprice='(0.003466-0.003468]'_vicdemand='(0.422877-0.423006]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=UP"
"vicprice_transfer_class","0.76903664887462","0.0335103642717535","0.07799108139988804","0.3909558067831449","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415132]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'_class=UP"
"nswprice_vicprice_class","0.7693717435773813","0.03084118132237512","0.0559332642983138","0.23211716341212743","nswprice='(0.077804-inf)'_vicprice='(0.003466-0.003468]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=UP"
"nswdemand_vicdemand_class","0.7722888312270538","0.0322602300608488","0.032725166037155196","0.12634429400386848","nswdemand='(-inf-0.276331]'_vicdemand='(0.422877-0.423006]'_class=DOWN","3.604866289998885E-5","nswdemand='(0.559135-inf)'_vicdemand='(-inf-0.335448]'_class=DOWN"
"nswprice_vicdemand_class","0.7723406453206795","0.030943826227695207","0.046574946413860396","0.23211716341212743","nswprice='(0.077804-inf)'_vicdemand='(0.422877-0.423006]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicdemand='(0.422877-0.423006]'_class=UP"
"nswdemand_vicprice_class","0.778569637213767","0.031172299191788957","0.03133413930458682","0.12634429400386848","nswdemand='(-inf-0.276331]'_vicprice='(0.003466-0.003468]'_class=DOWN","5.11006639714753E-4","nswdemand='(0.559135-inf)'_vicprice='(0.003067-0.003466]'_class=DOWN"
"date_day_class","0.8111219065258464","0.023214096088234375","0.011105413973713882","0.03699897225077081","date='(0.026747-0.442967]'_day=1_class=UP","6.952305174158513E-5","date='(0.442967-0.471594]'_day=5_class=DOWN"
"date_period_class","0.819362789003587","0.03284868888522501","0.018342283743192602","0.06541586073500967","date='(0.026747-0.442967]'_period='(-inf-0.202128]'_class=DOWN","8.479309546261561E-4","date='(0.442967-0.471594]'_period='(0.606383-0.819149]'_class=UP"
"date_transfer_class","0.833072694444791","0.03967286786857792","0.05524027177190051","0.2018181818181818","date='(-inf-0.026747]'_transfer='(0.414693-0.415132]'_class=DOWN","3.5389648741040254E-5","date='(0.442967-0.471594]'_transfer='(0.414693-0.415132]'_class=DOWN"
"date_vicprice_class","0.8513670183881443","0.042469861046704","0.06337816299142496","0.2018181818181818","date='(-inf-0.026747]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0","date='(0.889275-inf)'_vicprice='(0.003466-0.003468]'_class=UP"
"date_vicdemand_class","0.8572014667317365","0.0452252300642291","0.056572242282357146","0.2018181818181818","date='(-inf-0.026747]'_vicdemand='(0.422877-0.423006]'_class=DOWN","0.0","date='(0.442967-0.471594]'_vicdemand='(0.422877-0.423006]'_class=UP"
"date_nswdemand_class","0.8758439204341943","0.03514886934230821","0.018478397010196854","0.07911025145067699","date='(0.026747-0.442967]'_nswdemand='(-inf-0.276331]'_class=DOWN","0.0016634429400386847","date='(0.026747-0.442967]'_nswdemand='(0.559135-inf)'_class=DOWN"
"date_nswprice_class","0.878136247918935","0.03496594603908355","0.039169060290935774","0.15719826602783482","date='(0.471594-0.889275]'_nswprice='(-inf-0.03223]'_class=DOWN","0.0","date='(-inf-0.026747]'_nswprice='(-inf-0.03223]'_class=UP"
