"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"period_nswdemand_class","0.0617458205071069","0.04251007051366349","0.035622096645386264","0.13867521367521368","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_class=DOWN","2.7890585493767217E-4","period='(0.202128-0.414894]'_nswdemand='(0.481628-0.559135]'_class=UP"
"day_period_class","0.07276791920533228","0.03675875313111294","0.03774146596192606","0.17611940298507464","day=1_period='(0.202128-0.414894]'_class=DOWN","0.0022497805092185907","day=5_period='(-inf-0.202128]'_class=DOWN"
"day_nswdemand_class","0.0839047622997342","0.04375458671987671","0.03335495937976761","0.11181006014860242","day=7_nswdemand='(0.276331-0.397129]'_class=DOWN","0.0019605544559216925","day=5_nswdemand='(0.559135-inf)'_class=UP"
"period_nswprice_class","0.13791710371797627","0.0748883135686435","0.05411535365678222","0.18872098661460526","period='(0.414894-0.606383]'_nswprice='(0.03223-0.043518]'_class=DOWN","0.0015872562461913264","period='(0.819149-inf)'_nswprice='(0.077804-inf)'_class=UP"
"nswdemand_transfer_class","0.14746045592795623","0.06612065868998268","0.044902238124726296","0.1565222803086881","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'_class=UP","0.0013385837472190687","nswdemand='(0.559135-inf)'_transfer='(0.415132-0.551974]'_class=UP"
"nswprice_nswdemand_class","0.15118047879075447","0.08090150215849498","0.050843643942288554","0.16092252056478387","nswprice='(0.03223-0.043518]'_nswdemand='(0.481628-0.559135]'_class=UP","0.0045185797873970035","nswprice='(0.056848-0.077804]'_nswdemand='(-inf-0.276331]'_class=UP"
"day_nswprice_class","0.1618382341562203","0.08113402618184248","0.05746741390990365","0.2206410546532746","day=2_nswprice='(0.056848-0.077804]'_class=UP","6.182419218492274E-5","day=4_nswprice='(0.056848-0.077804]'_class=UP"
"day_transfer_class","0.20495424916921273","0.07928268409138149","0.07191232586376407","0.27642113690952763","day=4_transfer='(0.414693-0.415132]'_class=UP","0.004892574903546859","day=5_transfer='(-inf-0.414693]'_class=DOWN"
"period_transfer_class","0.21648873476335534","0.0851837124239588","0.0884907861700239","0.4257371176632681","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'_class=UP","0.0020519262981574526","period='(0.606383-0.819149]'_transfer='(0.551974-0.6875]'_class=DOWN"
"nswprice_transfer_class","0.24183729299272955","0.10064347172952401","0.07910976783627227","0.37078820697954273","nswprice='(0.03223-0.043518]'_transfer='(0.414693-0.415132]'_class=UP","0.013018579933078034","nswprice='(0.043518-0.056848]'_transfer='(-inf-0.414693]'_class=DOWN"
"nswprice_vicprice_class","0.2430209252514503","0.14809236354174388","0.1541399520105745","0.5","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=UP"
"day_vicdemand_class","0.24764859733386432","0.09586099176529222","0.09681492441280376","0.4473684210526316","day=1_vicdemand='(0.540782-inf)'_class=UP","1.387973212116922E-4","day=5_vicdemand='(0.540782-inf)'_class=UP"
"vicdemand_transfer_class","0.248049537848805","0.11076639425321808","0.12591525907920684","0.5","vicdemand='(0.422877-0.423006]'_transfer='(0.415132-0.551974]'_class=DOWN","0.0","vicdemand='(0.422877-0.423006]'_transfer='(0.415132-0.551974]'_class=UP"
"period_vicdemand_class","0.25657677544115337","0.10470175937802814","0.09469583281561772","0.4257371176632681","period='(-inf-0.202128]'_vicdemand='(0.422877-0.423006]'_class=DOWN","0.0020435069215556934","period='(0.414894-0.606383]'_vicdemand='(-inf-0.335448]'_class=DOWN"
"period_vicprice_class","0.2575177196224839","0.09083289597424903","0.09811566340251181","0.4257371176632681","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.009259259259259245","period='(0.819149-inf)'_vicprice='(0.002058-0.003067]'_class=DOWN"
"nswdemand_vicdemand_class","0.26003075314487345","0.1121451806903737","0.10385939519505537","0.4065222803086881","nswdemand='(-inf-0.276331]'_vicdemand='(0.422877-0.423006]'_class=DOWN","0.004689918950915223","nswdemand='(0.559135-inf)'_vicdemand='(0.335448-0.422877]'_class=DOWN"
"vicprice_transfer_class","0.26008127007775844","0.10347633748657666","0.1266553759134481","0.5","vicprice='(0.003466-0.003468]'_transfer='(-inf-0.414693]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'_class=UP"
"day_vicprice_class","0.2609742765664466","0.09626275199897892","0.08576660637149658","0.3022044088176353","day=2_vicprice='(0.003466-0.003468]'_class=DOWN","0.0024468846980185976","day=4_vicprice='(0.003067-0.003466]'_class=UP"
"vicprice_vicdemand_class","0.2625113972936063","0.11211120094145106","0.1482914826458048","0.5","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=DOWN","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=UP"
"nswdemand_vicprice_class","0.27481928925974536","0.1033229434005593","0.08925675886867039","0.4065222803086881","nswdemand='(-inf-0.276331]'_vicprice='(0.003466-0.003468]'_class=DOWN","4.381895040725392E-4","nswdemand='(0.481628-0.559135]'_vicprice='(-inf-0.002058]'_class=DOWN"
