"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.442967-0.471594]'_day=4_period='(0.414894-0.606383]'_nswprice='(0.043518-0.056848]'_nswdemand='(0.559135-inf)'_vicprice='(0.003468-inf)'_vicdemand='(0.540782-inf)'_transfer='(0.415132-0.551974]'","4.4140366365040824E-5","0.5","0.25","0.2564945880212885","0.5","class=UP","0.0","class=DOWN"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.442967-0.471594]'_day=1_period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_vicprice='(-inf-0.002058]'_vicdemand='(-inf-0.335448]'_transfer='(-inf-0.414693]'","1.1035091591260208E-4","0.5","0.25","0.15389675281277315","0.4","class=DOWN","0.1","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.471594-0.889275]'_day=1_period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_vicprice='(-inf-0.002058]'_vicdemand='(-inf-0.335448]'_transfer='(-inf-0.414693]'","2.2070183182520412E-5","0.5","0.25","0.2564945880212885","0.5","class=DOWN","0.0","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.442967-0.471594]'_day=3_period='(0.414894-0.606383]'_nswprice='(0.043518-0.056848]'_nswdemand='(0.559135-inf)'_vicprice='(0.003468-inf)'_vicdemand='(0.540782-inf)'_transfer='(0.415132-0.551974]'","2.2070183182520412E-5","0.5","0.25","0.2564945880212885","0.5","class=DOWN","0.0","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.442967-0.471594]'_day=2_period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_vicprice='(-inf-0.002058]'_vicdemand='(-inf-0.335448]'_transfer='(-inf-0.414693]'","1.5449128227764292E-4","0.5","0.25","0.1832104200152061","0.42857142857142855","class=DOWN","0.07142857142857142","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.471594-0.889275]'_day=2_period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_vicprice='(-inf-0.002058]'_vicdemand='(-inf-0.335448]'_transfer='(-inf-0.414693]'","2.2070183182520412E-5","0.5","0.25","0.2564945880212885","0.5","class=UP","0.0","class=DOWN"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.889275-inf)'_day=2_period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_vicprice='(-inf-0.002058]'_vicdemand='(-inf-0.335448]'_transfer='(-inf-0.414693]'","4.4140366365040824E-5","0.5","0.25","0.2564945880212885","0.5","class=DOWN","0.0","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.471594-0.889275]'_day=4_period='(0.202128-0.414894]'_nswprice='(0.043518-0.056848]'_nswdemand='(0.397129-0.481628]'_vicprice='(0.003067-0.003466]'_vicdemand='(0.335448-0.422877]'_transfer='(-inf-0.414693]'","2.2070183182520412E-5","0.5","0.25","0.2564945880212885","0.5","class=DOWN","0.0","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.889275-inf)'_day=5_period='(0.414894-0.606383]'_nswprice='(0.043518-0.056848]'_nswdemand='(0.559135-inf)'_vicprice='(0.003468-inf)'_vicdemand='(0.540782-inf)'_transfer='(0.415132-0.551974]'","4.4140366365040824E-5","0.5","0.25","0.2564945880212885","0.5","class=DOWN","0.0","class=UP"
"date_day_period_nswprice_nswdemand_vicprice_vicdemand_transfer_class","date='(0.442967-0.471594]'_day=3_period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_vicprice='(-inf-0.002058]'_vicdemand='(-inf-0.335448]'_transfer='(-inf-0.414693]'","6.621054954756124E-5","0.5","0.25","0.2564945880212885","0.5","class=DOWN","0.0","class=UP"
